,Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Assay Type,Assay Description,Assay Organism,Assay Variant Mutation,Target Name,Target Organism,Document Journal,pChEMBL,Canonical_Smiles
1547,CHEMBL4176131,CC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]1C[C@@H](C(=O)NCCC(N)=O)N(CCCNC(=N)N)C1,IC50,'=',8.0,nM,8.1,,F,Antibacterial activity against Escherichia coli NCIM 2688 after 8 hrs by serial dilution method,Escherichia coli,,Escherichia coli,Escherichia coli,Eur J Med Chem,8.096910013008056,CC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]1C[C@@H](C(=O)NCCC(N)=O)N(CCCNC(=N)N)C1
1036,CHEMBL2029019,CC(=O)N[C@@H]1[C@H](O[C@H]2[C@@H](O)[C@H](NC(C)=O)[C@H](OC3[C@@H](OP(=O)(O)OC[C@@H](OCCC(C)CCCCC(C)(C)CCC(C)CCC(C)CCCC(C)C)C(=O)O)O[C@@H](C(N)=O)[C@@](C)(O)[C@@H]3OC(N)=O)O[C@H]2CO[C@@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)O[C@@H](C)[C@@H](O[C@@H]2O[C@@H](C(=O)NC3=C(O)CCC3=O)[C@H](O)[C@H](O)[C@@H]2O)[C@@H]1O,IC50,'=',8.1,nM,8.09,,F,Compound was evaluated for inhibition of peptidoglycan synthesis in Escherichia coli using UDP-[14C]-GlcNAc radioligand,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,8.09151498112135,CC(=O)N[C@@H]1[C@H](O[C@H]2[C@@H](O)[C@H](NC(C)=O)[C@H](OC3[C@@H](OP(=O)(O)OC[C@@H](OCCC(C)CCCCC(C)(C)CCC(C)CCC(C)CCCC(C)C)C(=O)O)O[C@@H](C(N)=O)[C@@](C)(O)[C@@H]3OC(N)=O)O[C@H]2CO[C@@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)O[C@@H](C)[C@@H](O[C@@H]2O[C@@H](C(=O)NC3=C(O)CCC3=O)[C@H](O)[C@H](O)[C@@H]2O)[C@@H]1O
202,CHEMBL2029021,CC(=O)N[C@@H]1[C@H](O[C@H]2[C@@H](O)[C@H](NC(C)=O)[C@H](O[C@@H]3[C@@H](OP(=O)(O)OC[C@@H](OCCC(C)CCCCC(C)(C)CCC(C)CCC(C)CCCC(C)C)C(=O)O)O[C@@H](C(N)=O)[C@@](C)(O)[C@@H]3OC(N)=O)O[C@H]2CO[C@@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)O[C@@H](C)[C@@H](O[C@@H]2O[C@@H](C(N)=O)[C@H](O)[C@H](O)[C@@H]2O)[C@@H]1O,IC50,'=',8.6,nM,8.07,,F,Compound was evaluated for inhibition of peptidoglycan synthesis in Escherichia coli using UDP-[14C]-GlcNAc radioligand,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,8.065501548756432,CC(=O)N[C@@H]1[C@H](O[C@H]2[C@@H](O)[C@H](NC(C)=O)[C@H](O[C@@H]3[C@@H](OP(=O)(O)OC[C@@H](OCCC(C)CCCCC(C)(C)CCC(C)CCC(C)CCCC(C)C)C(=O)O)O[C@@H](C(N)=O)[C@@](C)(O)[C@@H]3OC(N)=O)O[C@H]2CO[C@@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)O[C@@H](C)[C@@H](O[C@@H]2O[C@@H](C(N)=O)[C@H](O)[C@H](O)[C@@H]2O)[C@@H]1O
1055,CHEMBL178835,CC(C)[C@H](NC(=O)C[C@H](NC(=O)/C=C/c1ccccc1)c1ccccc1)C(=O)[C@@H]1C(=O)NC(=O)[C@H]1C,IC50,'=',9.0,nM,8.05,,F,Inhibitory concentration of the compound against Escherichia coli was determined,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,8.045757490560675,CC(C)[C@H](NC(=O)C[C@H](NC(=O)/C=C/c1ccccc1)c1ccccc1)C(=O)[C@@H]1C(=O)NC(=O)[C@H]1C
691,CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,IC50,'=',10.0,nM,8.0,,F,Inhibitory concentration against purified penicillin-binding protein(PBP) 1bgamma of Escherichia coli,Escherichia coli,,Escherichia coli,Escherichia coli,J Med Chem,8.0,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12
609,CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,IC50,'=',10.0,nM,8.0,,F,Antibacterial activity against Escherichia coli ATCC 35218 by modified CLSI/NCCLS method,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem,8.0,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
1448,CHEMBL127,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,IC50,'=',10.0,nM,8.0,,F,Antimicrobial activity against Escherichia coli ATCC 35218 assessed as inhibition of microbial growth by CLSI based method,Escherichia coli,,Escherichia coli,Escherichia coli,J Nat Prod,8.0,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12
1500,CHEMBL4163914,CC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O,IC50,'=',10.1,nM,8.0,,F,Antibacterial activity against Escherichia coli NCIM 2688 after 8 hrs by serial dilution method,Escherichia coli,,Escherichia coli,Escherichia coli,Eur J Med Chem,7.995678626217358,CC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O
583,CHEMBL425874,C/C=C/C=C/C=C/C(=O)N[C@@H](CC(=O)N[C@H](C(=O)[C@@H]1C(=O)NC(=O)[C@H]1C)C(C)C)c1ccccc1,IC50,'=',13.0,nM,7.89,,F,Inhibitory concentration of the compound against Escherichia coli was determined,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,7.886056647693163,C/C=C/C=C/C=C/C(=O)N[C@@H](CC(=O)N[C@H](C(=O)[C@@H]1C(=O)NC(=O)[C@H]1C)C(C)C)c1ccccc1
1054,CHEMBL178228,C/C=C/C=C/C(=O)N[C@@H](CC(=O)N[C@H](C(=O)[C@@H]1C(=O)N(NC)C(=O)[C@H]1C)C(C)C)c1ccccc1,IC50,'=',14.0,nM,7.85,,F,Inhibitory concentration of the compound against Escherichia coli was determined,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,7.853871964321762,C/C=C/C=C/C(=O)N[C@@H](CC(=O)N[C@H](C(=O)[C@@H]1C(=O)N(NC)C(=O)[C@H]1C)C(C)C)c1ccccc1
1239,CHEMBL1747,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,IC50,'=',15.0,nM,7.82,,F,Inhibition of protein synthesis in Escherichia coli S30 extracts after 90 mins by coupled transcription/translation assay,Escherichia coli,,Escherichia coli,Escherichia coli,J Med Chem,7.823908740944319,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O
190,CHEMBL2029020,C=C(C/C=C(\C)CCC=C(C)C)CCC(C)(C)/C=C/CC/C(C)=C\CO[C@H](COP(=O)(O)O[C@H]1O[C@@H](C(N)=O)[C@@](C)(O)[C@H](OC(N)=O)[C@@H]1O[C@@H]1O[C@@H](CO[C@@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O[C@@H]2O[C@@H](C)[C@@H](O[C@@H]3O[C@@H](C(=O)NC4=C(O)CCC4=O)[C@H](O)[C@H](O)[C@@H]3O)[C@H](O)[C@@H]2NC(C)=O)[C@@H](O)[C@@H]1NC(C)=O)C(=O)O,IC50,'=',15.6,nM,7.81,,F,Compound was evaluated for inhibition of peptidoglycan synthesis in Escherichia coli using UDP-[14C]-GlcNAc radioligand,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,7.806875401645538,C=C(C/C=C(\C)CCC=C(C)C)CCC(C)(C)/C=C/CC/C(C)=C\CO[C@H](COP(=O)(O)O[C@H]1O[C@@H](C(N)=O)[C@@](C)(O)[C@H](OC(N)=O)[C@@H]1O[C@@H]1O[C@@H](CO[C@@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O[C@@H]2O[C@@H](C)[C@@H](O[C@@H]3O[C@@H](C(=O)NC4=C(O)CCC4=O)[C@H](O)[C@H](O)[C@@H]3O)[C@H](O)[C@@H]2NC(C)=O)[C@@H](O)[C@@H]1NC(C)=O)C(=O)O
387,CHEMBL406969,CC(=O)NC1C(OC2C(CO)OC(OC3C(OP(=O)(O)OC[C@@H](OCCC(C)CCCCC(C)(C)CCC(C)CCC(C)CCCC(C)C)C(=O)O)OC(C(N)=O)C(C)(O)C3OC(N)=O)C(NC(C)=O)C2O)OC(C)C(O)C1O,IC50,'=',16.0,nM,7.8,,F,Compound was evaluated for inhibition of peptidoglycan synthesis in Escherichia coli using UDP-[14C]-GlcNAc radioligand,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,7.795880017344075,CC(=O)NC1C(OC2C(CO)OC(OC3C(OP(=O)(O)OC[C@@H](OCCC(C)CCCCC(C)(C)CCC(C)CCC(C)CCCC(C)C)C(=O)O)OC(C(N)=O)C(C)(O)C3OC(N)=O)C(NC(C)=O)C2O)OC(C)C(O)C1O
911,CHEMBL4172757,CC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@H]1C[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]2C[C@@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]3C[C@@H](C(=O)NCCC(N)=O)N(CCCN)C3)N(CCCN)C2)N(CCCN)C1,IC50,'=',16.5,nM,7.78,,F,Antibacterial activity against Escherichia coli NCIM 2688 after 8 hrs by serial dilution method,Escherichia coli,,Escherichia coli,Escherichia coli,Eur J Med Chem,7.782516055786093,CC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@H]1C[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]2C[C@@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]3C[C@@H](C(=O)NCCC(N)=O)N(CCCN)C3)N(CCCN)C2)N(CCCN)C1
1801,CHEMBL5208058,Cc1cc(-c2ccc3ccn(CC(=O)Nc4cccnc4)c(=O)c3c2)ccc1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,IC50,'=',18.0,nM,7.75,,F,Antibiofilm activity against Escherichia coli UTI89,Escherichia coli,,Escherichia coli,Escherichia coli,J Med Chem,7.7447274948966935,Cc1cc(-c2ccc3ccn(CC(=O)Nc4cccnc4)c(=O)c3c2)ccc1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O
1298,CHEMBL4168288,CC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@H]1C[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCCC(N)=O)N(CCCNC(=N)N)C1,IC50,'=',18.0,nM,7.75,,F,Antibacterial activity against Escherichia coli NCIM 2688 after 8 hrs by serial dilution method,Escherichia coli,,Escherichia coli,Escherichia coli,Eur J Med Chem,7.7447274948966935,CC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@H]1C[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCCC(N)=O)N(CCCNC(=N)N)C1
1537,CHEMBL4164850,CC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@H]1C[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]2C[C@@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]3C[C@@H](C(=O)NCCC(N)=O)N(CCCNC(=N)N)C3)N(CCCNC(=N)N)C2)N(CCCNC(=N)N)C1,IC50,'=',18.0,nM,7.75,,F,Antibacterial activity against Escherichia coli NCIM 2688 after 8 hrs by serial dilution method,Escherichia coli,,Escherichia coli,Escherichia coli,Eur J Med Chem,7.7447274948966935,CC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@H]1C[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]2C[C@@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]3C[C@@H](C(=O)NCCC(N)=O)N(CCCNC(=N)N)C3)N(CCCNC(=N)N)C2)N(CCCNC(=N)N)C1
48,CHEMBL3039597,CNC(C)[C@@H]1CC[C@@H](N)[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H](N)C[C@@H]2N)O1.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](C(C)N)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,IC50,'=',20.0,nM,7.7,,F,Inhibition of protein translation in Escherichia coli by coupled transcription/translation assay,Escherichia coli,,Escherichia coli,Escherichia coli,J Med Chem,7.698970004336019,CNC(C)[C@@H]1CC[C@@H](N)[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H](N)C[C@@H]2N)O1.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](C(C)N)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O
343,CHEMBL178757,C/C=C/C=C/C(=O)N[C@@H](CC(=O)N[C@H](C(=O)[C@@H]1C(=O)N(C)C(=O)[C@H]1C)C(C)C)c1ccccc1,IC50,'=',25.0,nM,7.6,,F,Inhibitory concentration of the compound against Escherichia coli was determined,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,7.6020599913279625,C/C=C/C=C/C(=O)N[C@@H](CC(=O)N[C@H](C(=O)[C@@H]1C(=O)N(C)C(=O)[C@H]1C)C(C)C)c1ccccc1
735,CHEMBL1384,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](O)[C@@H](O)[C@@H]1O,IC50,'=',30.0,nM,7.52,,F,Inhibition of protein translation in Escherichia coli S30 cell extract using circular DNA with pBESTluc after 60 mins,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem,7.522878745280337,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](O)[C@@H](O)[C@@H]1O
220,CHEMBL520063,CC(=O)NC[C@H]1CN(c2ccc(-c3ccc(CNC(=O)/C=C/c4c(C)[nH]c(=O)[nH]c4=O)cc3)c(F)c2)C(=O)O1,IC50,'=',30.0,nM,7.52,,F,Inhibition of protein synthesis in Escherichia coli S30 extract by translation assay,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,7.522878745280337,CC(=O)NC[C@H]1CN(c2ccc(-c3ccc(CNC(=O)/C=C/c4c(C)[nH]c(=O)[nH]c4=O)cc3)c(F)c2)C(=O)O1
221,CHEMBL520393,CC(=O)NC[C@H]1CN(c2ccc(/C=C/CCCNC(=O)/C=C/c3c(C)[nH]c(=O)[nH]c3=O)c(F)c2)C(=O)O1,IC50,'=',30.0,nM,7.52,,F,Inhibition of protein synthesis in Escherichia coli S30 extract by translation assay,Escherichia coli,,Escherichia coli,Escherichia coli,Bioorg Med Chem Lett,7.522878745280337,CC(=O)NC[C@H]1CN(c2ccc(/C=C/CCCNC(=O)/C=C/c3c(C)[nH]c(=O)[nH]c3=O)c(F)c2)C(=O)O1
865,CHEMBL4460626,Cc1cc(O)c2c(c1)C(O)([C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O)c1ccc([C@H]3c4cccc(O)c4C(=O)c4c(O)cc(C)c(O)c43)c(O)c1C2=O,IC50,'>',30.0,nM,,,F,Antimicrobial activity against Escherichia coli ATCC 35218 assessed as inhibition of microbial growth by CLSI based method,Escherichia coli,,Escherichia coli,Escherichia coli,J Nat Prod,7.522878745280337,Cc1cc(O)c2c(c1)C(O)([C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O)c1ccc([C@H]3c4cccc(O)c4C(=O)c4c(O)cc(C)c(O)c43)c(O)c1C2=O
